DateTime,temp,wx_phrase,dewPt,heat_index,rh,pressure,vis,wc,wdir_cardinal,wspd,uv_desc,feels_like,uv_index,clds
2024-06-06  0:00:00,86,9,82,105,89,29.82,3,86,14,1,2,105,0,0
2024-06-06  0:30:00,84,9,82,101,94,29.82,3,84,14,1,2,101,0,0
2024-06-06  1:00:00,84,9,82,101,94,29.79,3,84,15,3,2,101,0,0
2024-06-06  1:30:00,84,11,82,101,94,29.79,3,84,15,6,2,101,0,4
2024-06-06  2:00:00,84,11,82,101,94,29.79,3,84,15,3,2,101,0,4
2024-06-06  2:30:00,84,11,82,101,94,29.79,3,84,15,3,2,101,0,4
2024-06-06  3:00:00,84,11,82,101,94,29.79,3,84,15,6,2,101,0,4
2024-06-06  3:30:00,84,11,82,101,94,29.79,3,84,15,5,2,101,0,4
2024-06-06  4:00:00,82,11,82,96,100,29.79,3,82,17,6,2,96,0,4
2024-06-06  4:30:00,82,11,82,96,100,29.79,3,82,17,5,2,96,0,4
2024-06-06  5:00:00,82,11,82,96,100,29.79,3,82,15,5,2,96,0,4
2024-06-06  5:30:00,82,11,82,96,100,29.79,3,82,15,3,2,96,0,4
2024-06-06  6:00:00,82,1,82,96,100,29.79,4,82,15,2,2,96,0,2
2024-06-06  6:30:00,84,1,84,104,100,29.82,4,84,14,3,2,104,0,2
2024-06-06  7:00:00,84,1,84,104,100,29.82,4,84,15,6,2,104,1,2
2024-06-06  7:30:00,86,1,84,108,94,29.82,4,86,15,7,2,108,2,2
2024-06-06  8:00:00,88,1,84,112,89,29.82,4,88,15,7,3,112,3,2
2024-06-06  8:30:00,88,9,84,112,89,29.82,6,88,15,7,3,112,3,0
2024-06-06  9:00:00,88,9,84,112,89,29.82,6,88,15,8,3,112,3,0
2024-06-06  9:30:00,90,9,82,111,79,29.82,6,90,15,6,3,111,4,0
2024-06-06  10:00:00,91,9,82,114,75,29.82,6,91,16,7,3,114,5,0
2024-06-06  10:30:00,93,11,79,110,63,29.79,6,93,16,6,4,110,8,4
2024-06-06  11:00:00,93,11,77,107,59,29.79,6,93,14,3,4,107,9,4
2024-06-06  11:30:00,95,11,77,110,56,29.79,6,95,16,6,4,110,9,4
2024-06-06  12:00:00,95,9,75,107,53,29.79,6,95,7,5,1,107,7,0
2024-06-06  12:30:00,97,9,75,109,50,29.76,6,97,15,6,1,109,7,0
2024-06-06  13:00:00,95,9,75,107,53,29.73,6,95,8,6,1,107,7,0
2024-06-06  13:30:00,97,9,75,109,50,29.73,6,97,16,8,1,109,6,0
2024-06-06  14:00:00,97,9,75,109,50,29.7,6,97,8,6,3,109,5,0
2024-06-06  14:30:00,95,9,75,107,53,29.7,6,95,16,9,3,107,4,0
2024-06-06  15:00:00,97,11,75,109,50,29.7,6,97,16,9,3,109,4,4
2024-06-06  15:30:00,95,11,77,110,56,29.67,6,95,16,8,3,110,3,4
2024-06-06  16:00:00,95,11,75,107,53,29.67,6,95,15,10,2,107,2,4
2024-06-06  16:30:00,93,5,75,105,56,29.7,4,93,15,9,2,105,1,4
2024-06-06  17:00:00,90,5,77,102,66,29.7,5,90,15,8,2,102,0,4
2024-06-06  17:30:00,90,11,79,105,70,29.7,6,90,16,7,2,105,0,4
